,date,store_nbr,item_nbr,unit_sales,onpromotion,city,state,type_x,cluster,family,class,perishable,type_y,locale,transferred,dcoilwtico
0,2013-01-01,25,103665,7.0,,Salinas,Santa Elena,D,1,BREAD/BAKERY,2712,1,Holiday,National,False,93.14
1,2013-01-01,25,105574,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1045,0,Holiday,National,False,93.14
2,2013-01-01,25,105575,2.0,,Salinas,Santa Elena,D,1,GROCERY I,1045,0,Holiday,National,False,93.14
3,2013-01-01,25,108079,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1030,0,Holiday,National,False,93.14
4,2013-01-01,25,108701,1.0,,Salinas,Santa Elena,D,1,DELI,2644,1,Holiday,National,False,93.14
5,2013-01-01,25,108786,3.0,,Salinas,Santa Elena,D,1,CLEANING,3044,0,Holiday,National,False,93.14
6,2013-01-01,25,108797,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1004,0,Holiday,National,False,93.14
7,2013-01-01,25,108952,1.0,,Salinas,Santa Elena,D,1,CLEANING,3024,0,Holiday,National,False,93.14
8,2013-01-01,25,111397,13.0,,Salinas,Santa Elena,D,1,GROCERY I,1072,0,Holiday,National,False,93.14
9,2013-01-01,25,114790,3.0,,Salinas,Santa Elena,D,1,GROCERY I,1004,0,Holiday,National,False,93.14
10,2013-01-01,25,114800,1.0,,Salinas,Santa Elena,D,1,PERSONAL CARE,4126,0,Holiday,National,False,93.14
11,2013-01-01,25,115267,1.0,,Salinas,Santa Elena,D,1,CLEANING,3034,0,Holiday,National,False,93.14
12,2013-01-01,25,115611,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1014,0,Holiday,National,False,93.14
13,2013-01-01,25,115693,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1040,0,Holiday,National,False,93.14
14,2013-01-01,25,115720,5.0,,Salinas,Santa Elena,D,1,GROCERY I,1084,0,Holiday,National,False,93.14
15,2013-01-01,25,115850,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1004,0,Holiday,National,False,93.14
16,2013-01-01,25,115891,6.0,,Salinas,Santa Elena,D,1,GROCERY I,1016,0,Holiday,National,False,93.14
17,2013-01-01,25,115892,10.0,,Salinas,Santa Elena,D,1,GROCERY I,1016,0,Holiday,National,False,93.14
18,2013-01-01,25,115894,5.0,,Salinas,Santa Elena,D,1,GROCERY I,1016,0,Holiday,National,False,93.14
19,2013-01-01,25,119024,1.0,,Salinas,Santa Elena,D,1,CLEANING,3026,0,Holiday,National,False,93.14
20,2013-01-01,25,119026,1.0,,Salinas,Santa Elena,D,1,CLEANING,3026,0,Holiday,National,False,93.14
21,2013-01-01,25,119141,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1042,0,Holiday,National,False,93.14
22,2013-01-01,25,119187,1.0,,Salinas,Santa Elena,D,1,CLEANING,3044,0,Holiday,National,False,93.14
23,2013-01-01,25,119624,4.0,,Salinas,Santa Elena,D,1,BEVERAGES,1122,0,Holiday,National,False,93.14
24,2013-01-01,25,123927,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1026,0,Holiday,National,False,93.14
25,2013-01-01,25,129635,11.0,,Salinas,Santa Elena,D,1,DAIRY,2112,1,Holiday,National,False,93.14
26,2013-01-01,25,153239,3.0,,Salinas,Santa Elena,D,1,BREAD/BAKERY,2712,1,Holiday,National,False,93.14
27,2013-01-01,25,153267,9.0,,Salinas,Santa Elena,D,1,GROCERY I,1096,0,Holiday,National,False,93.14
28,2013-01-01,25,153395,7.0,,Salinas,Santa Elena,D,1,BREAD/BAKERY,2704,1,Holiday,National,False,93.14
29,2013-01-01,25,155607,2.0,,Salinas,Santa Elena,D,1,GROCERY I,1034,0,Holiday,National,False,93.14
30,2013-01-01,25,158680,1.0,,Salinas,Santa Elena,D,1,EGGS,2502,1,Holiday,National,False,93.14
31,2013-01-01,25,158788,4.0,,Salinas,Santa Elena,D,1,CLEANING,3044,0,Holiday,National,False,93.14
32,2013-01-01,25,158842,9.0,,Salinas,Santa Elena,D,1,DAIRY,2124,1,Holiday,National,False,93.14
33,2013-01-01,25,158875,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1026,0,Holiday,National,False,93.14
34,2013-01-01,25,158956,5.0,,Salinas,Santa Elena,D,1,CLEANING,3038,0,Holiday,National,False,93.14
35,2013-01-01,25,159156,29.904,,Salinas,Santa Elena,D,1,POULTRY,2416,1,Holiday,National,False,93.14
36,2013-01-01,25,162066,2.0,,Salinas,Santa Elena,D,1,GROCERY I,1048,0,Holiday,National,False,93.14
37,2013-01-01,25,164036,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1048,0,Holiday,National,False,93.14
38,2013-01-01,25,164088,3.0,,Salinas,Santa Elena,D,1,DAIRY,2116,1,Holiday,National,False,93.14
39,2013-01-01,25,165550,10.0,,Salinas,Santa Elena,D,1,BEVERAGES,1124,0,Holiday,National,False,93.14
40,2013-01-01,25,165551,1.0,,Salinas,Santa Elena,D,1,BEVERAGES,1124,0,Holiday,National,False,93.14
41,2013-01-01,25,165553,9.0,,Salinas,Santa Elena,D,1,BEVERAGES,1124,0,Holiday,National,False,93.14
42,2013-01-01,25,165594,4.0,,Salinas,Santa Elena,D,1,GROCERY I,1014,0,Holiday,National,False,93.14
43,2013-01-01,25,165704,4.0,,Salinas,Santa Elena,D,1,GROCERY I,1016,0,Holiday,National,False,93.14
44,2013-01-01,25,165705,15.0,,Salinas,Santa Elena,D,1,GROCERY I,1016,0,Holiday,National,False,93.14
45,2013-01-01,25,165718,2.0,,Salinas,Santa Elena,D,1,BREAD/BAKERY,2718,1,Holiday,National,False,93.14
46,2013-01-01,25,165988,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1072,0,Holiday,National,False,93.14
47,2013-01-01,25,168927,9.0,,Salinas,Santa Elena,D,1,CLEANING,3026,0,Holiday,National,False,93.14
48,2013-01-01,25,169104,1.0,,Salinas,Santa Elena,D,1,CLEANING,3044,0,Holiday,National,False,93.14
49,2013-01-01,25,172184,2.0,,Salinas,Santa Elena,D,1,GROCERY I,1058,0,Holiday,National,False,93.14
50,2013-01-01,25,172343,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1004,0,Holiday,National,False,93.14
51,2013-01-01,25,173113,2.0,,Salinas,Santa Elena,D,1,DAIRY,2114,1,Holiday,National,False,93.14
52,2013-01-01,25,177050,1.0,,Salinas,Santa Elena,D,1,LINGERIE,7034,0,Holiday,National,False,93.14
53,2013-01-01,25,179600,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1006,0,Holiday,National,False,93.14
54,2013-01-01,25,205387,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1034,0,Holiday,National,False,93.14
55,2013-01-01,25,207857,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1010,0,Holiday,National,False,93.14
56,2013-01-01,25,208384,3.0,,Salinas,Santa Elena,D,1,EGGS,2502,1,Holiday,National,False,93.14
57,2013-01-01,25,208498,3.0,,Salinas,Santa Elena,D,1,CLEANING,3044,0,Holiday,National,False,93.14
58,2013-01-01,25,208514,2.0,,Salinas,Santa Elena,D,1,GROCERY I,1010,0,Holiday,National,False,93.14
59,2013-01-01,25,211203,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1072,0,Holiday,National,False,93.14
60,2013-01-01,25,214381,5.0,,Salinas,Santa Elena,D,1,CLEANING,3032,0,Holiday,National,False,93.14
61,2013-01-01,25,214862,1.0,,Salinas,Santa Elena,D,1,CLEANING,3034,0,Holiday,National,False,93.14
62,2013-01-01,25,215331,2.0,,Salinas,Santa Elena,D,1,GROCERY I,1040,0,Holiday,National,False,93.14
63,2013-01-01,25,215332,1.0,,Salinas,Santa Elena,D,1,GROCERY I,1040,0,Holiday,National,False,93.14
64,2013-01-01,25,215352,46.0,,Salinas,Santa Elena,D,1,GROCERY I,1016,0,Holiday,National,False,93.14
65,2013-01-01,25,215356,5.0,,Salinas,Santa Elena,D,1,GROCERY I,1016,0,Holiday,National,False,93.14
66,2013-01-01,25,215370,2.0,,Salinas,Santa Elena,D,1,BREAD/BAKERY,2718,1,Holiday,National,False,93.14
67,2013-01-01,25,219147,2.0,,Salinas,Santa Elena,D,1,BEVERAGES,1122,0,Holiday,National,False,93.14
68,2013-01-01,25,219150,21.0,,Salinas,Santa Elena,D,1,BEVERAGES,1122,0,Holiday,National,False,93.14
69,2013-01-01,25,220435,4.0,,Salinas,Santa Elena,D,1,GROCERY I,1080,0,Holiday,National,False,93.14
